city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-02 02:13:05,125,48,54.51,28.5,-
Depok,2025-11-06 23:59:22,96,39,59.4,27.2,96
Bogor,2025-11-06 23:00:00,7,10,,,54
Tangerang,2025-11-06 23:00:00,31,24,,,31
Bekasi,2025-11-06 23:00:00,0,8,,,8
Jakarta,2025-11-02 02:13:05,125,48,54.51,28.5,-
Depok,2025-11-06 23:59:22,96,39,59.4,27.2,96
Bogor,2025-11-06 23:00:00,7,10,,,54
Tangerang,2025-11-06 23:00:00,31,24,,,31
Bekasi,2025-11-06 23:00:00,0,8,,,8
Jakarta,2025-11-02 02:13:05,125,48,54.51,28.5,-
Depok,2025-11-07 00:00:26,102,41,59.57,27.2,102
Bogor,2025-11-06 23:00:00,7,10,,,54
Tangerang,2025-11-06 23:00:00,31,24,,,31
Bekasi,2025-11-06 23:00:00,0,8,,,8
Jakarta,2025-11-02 02:13:05,125,48,54.51,28.5,-
Depok,2025-11-07 00:01:29,95,36,59.49,27.18,95
Bogor,2025-11-07 00:00:00,8,10,,,54
Tangerang,2025-11-07 00:00:00,30,24,,,30
Bekasi,2025-11-07 00:00:00,0,8,,,8
Jakarta,2025-11-02 02:13:05,125,48,54.51,28.5,-
Depok,2025-11-07 00:02:32,98,37,59.62,27.2,98
Bogor,2025-11-07 00:00:00,8,10,,,54
Tangerang,2025-11-07 00:00:00,30,24,,,30
Bekasi,2025-11-07 00:00:00,0,8,,,8
Jakarta,2025-11-02 02:13:05,125,48,54.51,28.5,-
Depok,2025-11-07 00:03:36,101,39,59.55,27.18,101
Bogor,2025-11-07 00:00:00,8,10,,,54
Tangerang,2025-11-07 00:00:00,30,24,,,30
Bekasi,2025-11-07 00:00:00,0,8,,,8
Jakarta,2025-11-02 02:13:05,125,48,54.51,28.5,-
Depok,2025-11-07 00:04:39,128,52,59.6,27.15,128
Bogor,2025-11-07 00:00:00,8,10,,,54
Tangerang,2025-11-07 00:00:00,30,24,,,30
Bekasi,2025-11-07 00:00:00,0,8,,,8
Jakarta,2025-11-02 02:13:05,125,48,54.51,28.5,-
Depok,2025-11-07 00:06:46,124,51,59.87,27.18,124
